Name	Length	EffectiveLength	TPM	NumReads
FBgn0031816	2033.25	1855.43	7.37329	92
FBgn0034923	1677.1	1499.28	24.1014	243
FBgn0039582	1151	973.183	0	0
FBgn0051635	6283.92	6106.1	12.6736	520.409
FBgn0263117	5200.16	5022.35	0.050076	1.692
FBgn0030259	717	539.57	0	0
FBgn0029858	1993.68	1815.87	12.6673	154.686
FBgn0260745	2901.71	2723.89	253.525	4644
FBgn0015791	1139.47	961.69	134.989	873
FBgn0051453	1588.42	1410.61	52.6033	499
FBgn0025574	2100.74	1922.92	17.5543	227
FBgn0039637	3175.13	2997.31	106.914	2155
FBgn0023095	4761.79	4583.97	1.91394	59
FBgn0014022	1444	1266.18	16.5593	141
FBgn0035134	1243	1065.18	0.279206	2
FBgn0044826	3680.66	3502.84	76.5834	1804
FBgn0030937	1405	1227.18	0	0
FBgn0085213	715	537.571	0	0
FBgn0039875	2420.12	2242.31	69.7652	1052
FBgn0037736	3954.88	3777.07	0.11811	3
FBgn0024732	2153	1975.18	19.4989	259
FBgn0053700	1116	938.183	0	0
FBgn0260747	999.251	821.652	292.283	1615
FBgn0038011	1767	1589.18	0	0
FBgn0066365	2733.69	2555.87	0.058815	1.011
FBgn0039863	5862.02	5684.21	38.3777	1467
FBgn0037721	827.287	649.795	0.915381	4
FBgn0036459	2408	2230.18	0	0
FBgn0038291	1731	1553.18	19.914	208
FBgn0001114	3261.94	3084.12	1426.31	29582
FBgn0262894	324	146.852	0	0
FBgn0015772	4895.47	4717.65	15.3505	487.001
FBgn0030873	1723.05	1545.24	89.304	928
FBgn0086675	6950.02	6772.21	0.261206	11.897
FBgn0038223	4226.07	4048.25	13.591	370
FBgn0027081	2328.73	2150.92	225.033	3255
FBgn0043458	3240.18	3062.37	62.5964	1289.1
FBgn0262010	471	293.721	1.51881	3
FBgn0259963	337	159.842	0	0
FBgn0010238	2156	1978.18	93.062	1238
FBgn0034184	3162.66	2984.85	30.6886	616
FBgn0000018	1794	1616.18	22.174	241
FBgn0032809	910	732.472	1.4211	7
FBgn0036605	513	335.685	0.885964	2
FBgn0052280	1126.54	948.724	33.2288	212.001
FBgn0000055	1096.33	918.516	0	0
FBgn0033657	3918	3740.18	0.159032	4
FBgn0035421	1684	1506.18	19.252	195
FBgn0030666	1611.74	1433.92	1.82788	17.626
FBgn0011202	4208.17	4030.35	41.1386	1115
FBgn0050091	1681	1503.18	0	0
FBgn0033260	3386.79	3208.98	37.4423	808
FBgn0283427	8599.12	8421.3	804.229	45545
FBgn0033740	2224.45	2046.63	17.0745	235
FBgn0011725	2792.12	2614.3	32.0054	562.678
FBgn0034377	761	583.552	1.01929	4
FBgn0284248	676.483	499.072	754.727	2533
FBgn0040674	712.5	535.081	0	0
FBgn0036323	1637	1459.18	0	0
FBgn0038260	1973	1795.18	4.05887	49
FBgn0034617	1987	1809.18	10.6851	130
FBgn0262018	7549.5	7371.68	0.040345	2
FBgn0031873	840	662.506	15.9363	71
FBgn0032366	866	688.482	0	0
FBgn0035241	4611.75	4433.93	1.40952	42.028
FBgn0260049	2271.12	2093.31	153.014	2154
FBgn0015558	4278.28	4100.47	0.950564	26.211
FBgn0267875	162	29.474	0	0
FBgn0003870	4240.52	4062.71	40.8477	1116
FBgn0053061	1277.9	1100.08	0.135174	1
FBgn0041181	4928	4750.18	0	0
FBgn0039778	933	755.464	0	0
FBgn0014455	1600.35	1422.53	233.398	2232.75
FBgn0030462	936.667	759.117	0	0
FBgn0051832	762	584.551	0	0
FBgn0000259	1612.68	1434.95	120.522	1163.01
FBgn0261581	717.5	540.077	0	0
FBgn0039271	836	658.508	9.71014	43
FBgn0031463	1194	1016.18	0	0
FBgn0014006	4619.26	4441.44	33.1794	991
FBgn0037150	1456	1278.18	14.3097	123
FBgn0030294	1628	1450.18	16.6116	162
FBgn0036039	2150.73	1972.91	14.5426	192.944
FBgn0029676	2023.42	1845.6	63.1824	784.181
FBgn0037475	1444.5	1266.68	0	0
FBgn0052076	1529	1351.18	27.2933	248
FBgn0058354	1400	1222.18	2.76075	22.691
FBgn0033738	3626.46	3448.65	37.6149	872.35
FBgn0064126	1582.2	1404.39	33.6866	318.146
FBgn0039115	970	792.426	17.9607	95.711
FBgn0010356	2362	2184.18	20.901	307
FBgn0051100	2434.9	2257.08	0.131765	2
FBgn0263249	318	140.854	0	0
FBgn0039635	1216.06	1038.34	183.454	1281
FBgn0050010	760.653	583.197	5.60952	22
FBgn0034495	1429	1251.18	17.7644	149.469
FBgn0005617	3878.48	3700.66	36.5663	910
FBgn0030703	1444.71	1266.89	125.592	1070
FBgn0036574	4109.74	3931.92	17.1675	453.937
FBgn0038742	1418	1240.18	69.0645	576
FBgn0003162	1638.95	1461.14	5.29214	52
FBgn0046999	672	494.589	0.300659	1
FBgn0037345	831	653.51	15.2455	67
FBgn0037050	1519.85	1342.04	11.9668	108
FBgn0029783	1128.26	950.443	8.13572	52
FBgn0261269	3811.67	3633.85	4.50136	110
FBgn0264270	2352.57	2174.75	46.7046	683.049
FBgn0259822	4738.89	4561.07	0.078914	2.42
FBgn0034035	1562	1384.18	26.9649	251
FBgn0039270	868	690.48	14.4292	67
FBgn0031626	1990	1812.18	0	0
FBgn0051324	1968.92	1791.1	47.267	569.324
FBgn0260858	1469	1291.18	47.4491	412
FBgn0031874	1710.58	1532.76	6.60586	68.091
FBgn0262719	7923.18	7745.36	0.576761	30.041
FBgn0082831	6728.91	6551.09	32.414	1428
FBgn0259239	3651.66	3473.85	0.34245	8
FBgn0036146	755	577.554	5.9218	23
FBgn0035073	3322	3144.18	14.0691	297.478
FBgn0020371	789	611.534	0	0
FBgn0032845	1558.28	1380.46	6.46315	60
FBgn0283651	4290.89	4113.07	1.59097	44.007
FBgn0267824	2632	2454.18	55.1382	910
FBgn0069973	897.824	720.292	22.5028	109
FBgn0036301	1709	1531.18	17.3838	179
FBgn0265048	4744	4566.18	214.089	6574
FBgn0261057	237.5	61.2505	0	0
FBgn0052564	1448	1270.18	0.117072	1
FBgn0030797	1165.35	987.757	15.2626	101.383
FBgn0001296	2215.64	2037.82	4.30532	59
FBgn0259972	1093	915.183	0.324968	2
FBgn0053986	871	693.479	0	0
FBgn0032435	2743	2565.18	0.115939	2
FBgn0033905	1169.2	991.385	17.3994	116
FBgn0029539	639.5	462.113	0	0
FBgn0030502	2962.35	2784.53	105.471	1975
FBgn0032554	1230	1052.33	0	0
FBgn0036410	2258.29	2080.47	1.00066	13.999
FBgn0025390	6135.39	5957.57	2.59097	103.803
FBgn0038394	1047	869.183	0.342166	2
FBgn0029715	1083.83	906.017	78.289	477
FBgn0034911	6361	6183.18	0.192396	8
FBgn0026063	2066	1888.18	0.253363	3.217
FBgn0032375	787.589	610.127	0.243724	1
FBgn0033665	1878	1700.18	12.6821	145
FBgn0085380	3223	3045.18	0	0
FBgn0037493	813	635.523	0	0
FBgn0053701	315	137.856	0	0
FBgn0032189	1259	1081.18	14.5789	106
FBgn0033726	683	505.586	0	0
FBgn0037526	2210.89	2033.08	8.14965	111.423
FBgn0028902	2093.51	1915.7	0.232869	3
FBgn0050289	1164	986.183	0.150786	1
FBgn0038131	1100	922.183	0.023481	0.146
FBgn0004910	1486.26	1308.56	0.113638	1.001
FBgn0037715	1038.5	860.679	24.7066	143
FBgn0038151	1571	1393.18	0	0
FBgn0005391	1583.02	1405.2	0.317469	3
FBgn0265416	5854.08	5676.26	0.131543	5.021
FBgn0033115	1348.68	1170.86	12.0652	95
FBgn0029587	2517.73	2339.91	1.79494	28.244
FBgn0034300	5049.33	4871.51	14.8046	485
FBgn0265464	2788	2610.18	7.69996	135.158
FBgn0036112	761	583.552	0	0
FBgn0262730	8084.28	7906.46	27.2945	1451.24
FBgn0262512	659	481.595	84.2944	273
FBgn0015279	4419.01	4241.19	57.8866	1651
FBgn0039831	2812.72	2634.91	80.9837	1434.98
FBgn0261673	1874.94	1697.12	1.13906	13
FBgn0026570	1233.94	1056.12	47.3088	336
FBgn0031574	3474.16	3296.34	7.39826	164
FBgn0036761	1785.75	1607.93	57.153	618
FBgn0085385	5875	5697.18	0.010557	0.404
FBgn0027296	2063	1885.18	12.6996	161
FBgn0033259	2863	2685.18	35.8302	647
FBgn0033616	1893	1715.18	11.5308	133
FBgn0030224	1034	856.183	0	0
FBgn0016685	917.221	739.688	338.341	1683
FBgn0003888	2516.6	2338.78	249.528	3924.56
FBgn0025381	2138.65	1960.84	370.444	4884.79
FBgn0052667	368	190.827	2.33776	3
FBgn0031771	1553.94	1376.12	139.072	1287
FBgn0042133	1168	990.183	4.95584	33
FBgn0028546	1069.13	891.318	75.2424	451
FBgn0037620	1159	981.183	3.03109	20
FBgn0086710	477.148	299.864	3038.87	6128
FBgn0036028	1427	1249.18	9.52319	80
FBgn0000046	1655.99	1478.17	1.12323	11.166
FBgn0034568	3383.35	3205.54	0.231947	5
FBgn0035464	2237.86	2060.05	49.8792	691
FBgn0032331	1716	1538.18	0.773393	8
FBgn0261380	1356	1178.18	27.0097	214
FBgn0039196	1506	1328.18	0	0
FBgn0051683	1875.62	1697.81	4.62734	52.833
FBgn0011754	2731.33	2553.51	22.5197	386.705
FBgn0003250	1349	1171.18	0.126968	1
