Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0029857	1139	414	506	978	473	564	574	647	721	499	662	691	632.21	647	617	0.952	-0.07	-0.415	0.677905506257735	0.920098405759958	0.0207	0.0178	0.019	0.019	TRUE	0.3561
FBgn0029858	284	155	152	369	182	206	143	242	217	188	255	252	216.18	201	232	1.163	0.218	0.923	0.356169694133749	0.772062172219349	0.0475	0.0274	0.0351	0.0351	TRUE	0.8057
FBgn0029859	18	7	0	29	6	7	9	11	0	15	8	9	8.63	7	11	1.581	0.661	0.778	0.436554570182586	0.823503164238624	0.4533	0.378	0.3922	0.3922	TRUE	1.2875
FBgn0029860	937	265	349	880	332	375	472	414	497	449	464	460	459.35	461	458	0.99	-0.015	-0.106	0.915270762454015	0.981287647169611	7e-04	0.0197	0.0119	0.0119	TRUE	0.0818
FBgn0029861	1097	434	408	1330	575	693	553	678	581	678	804	849	690.66	604	777	1.288	0.365	2.418	0.0155894777052019	0.128689043484924	0.0114	0.0174	0.0148	0.0148	TRUE	0.1575
FBgn0029863	2	1	0	4	1	2	1	2	0	2	1	2	1.41	1	2	2.27	1.183	0.685	0.49354799706171	NA	0	2.247	1.2938	1.2938	TRUE	0.1658
FBgn0029864	12	5	8	13	3	10	6	8	11	7	4	12	8.06	8	8	0.935	-0.097	-0.128	0.89840495018936	0.978889712578042	0.057	0.4038	0.2825	0.2825	TRUE	0.5308
FBgn0029866	33	17	15	31	13	21	17	27	21	16	18	26	20.72	22	20	0.934	-0.099	-0.206	0.836731861267462	0.964439649774725	0	0.1649	0.1144	0.1144	TRUE	0.2923
FBgn0029867	3116	1093	1161	2668	1076	1294	1569	1708	1654	1361	1505	1586	1563.89	1644	1484	0.902	-0.149	-1.26	0.20784764398096	0.60579154611859	0.0036	0.0149	0.0093	0.0093	TRUE	0.0669
FBgn0029868	2171	709	866	1817	825	932	1093	1108	1234	927	1154	1142	1109.7	1145	1074	0.936	-0.095	-0.688	0.491492614265569	0.847121241593189	0.0091	0.0157	0.0127	0.0127	TRUE	0.1825
FBgn0029870	5153	1788	1888	3872	1556	1812	2595	2794	2690	1974	2176	2221	2408.6	2693	2124	0.788	-0.343	-3.135	0.00171574577721321	0.022654154777811	0.0024	0.0142	0.0082	0.0082	TRUE	0.0476
FBgn0029873	2106	591	679	1755	683	848	1061	924	968	895	955	1039	973.57	984	963	0.975	-0.036	-0.283	0.776945653028044	0.947071976395346	0.0047	0.0161	0.0107	0.0107	TRUE	0.0592
FBgn0029874	592	260	280	560	323	357	298	406	399	286	452	438	379.73	368	392	1.064	0.09	0.42	0.674429956611567	0.918233016477922	0.0438	0.0211	0.0299	0.0299	TRUE	0.7023
FBgn0029877	22	12	11	25	12	10	11	19	16	13	17	12	14.55	15	14	0.937	-0.093	-0.169	0.866004175480388	0.970659026684606	0	0.2294	0.1471	0.1471	TRUE	0.472
FBgn0029878	4156	1266	1289	4671	1408	1607	2093	1979	1837	2382	1969	1970	2038.22	1970	2107	1.07	0.098	0.763	0.445513697655901	0.826206120615084	0.0078	0.0144	0.0114	0.0114	TRUE	0.1617
FBgn0029879	43	8	17	41	14	27	22	13	24	21	20	33	21.99	20	25	1.232	0.301	0.63	0.528446136486194	0.861432968097095	0.0321	0.1561	0.1165	0.1165	TRUE	0.48
FBgn0029880	45	16	12	69	14	15	23	25	17	35	20	18	22.99	22	24	1.162	0.216	0.455	0.64880128261651	0.909895273874706	0.0614	0.1499	0.1168	0.1168	TRUE	1.3142
FBgn0029881	11617	3661	3063	7813	2469	2784	5851	5721	4364	3984	3453	3412	4464.45	5312	3616	0.681	-0.555	-3.838	0.000123870062036039	0.00261448019562797	0.0156	0.0135	0.0148	0.0148	TRUE	0.2955
FBgn0029882	2170	572	839	2147	806	981	1093	894	1195	1095	1127	1202	1101.15	1061	1141	1.074	0.103	0.733	0.463593357501532	0.834323433229498	0.0094	0.0157	0.0134	0.0134	TRUE	0.2147
FBgn0029885	799	237	280	690	245	291	402	370	399	352	343	357	370.5	390	351	0.896	-0.159	-1.125	0.260553464919038	0.676209123552992	0	0.0213	0.0115	0.0115	TRUE	0.0213
