Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0035710	20	3	5	61	22	25	10	5	7	31	31	31	19.07	7	31	3.939	1.978	3.74	0.000183779244870101	0.00359941143592737	0	0.1781	0.1188	0.1188	TRUE	0.6108
FBgn0037213	848	324	285	1206	451	594	427	506	406	615	631	728	552.23	446	658	1.475	0.561	3.733	0.000188871055547209	0.00368112580253607	0.0085	0.0185	0.0142	0.0142	TRUE	0.1449
FBgn0031489	1616	614	707	2424	953	1079	814	960	1007	1236	1333	1323	1112.07	927	1297	1.403	0.489	3.732	0.000189842531217517	0.00369198127850312	0.0063	0.0157	0.0113	0.0113	TRUE	0.1468
FBgn0038545	127	26	41	278	70	85	64	41	58	142	98	104	84.48	54	115	2.092	1.065	3.727	0.000193663018886093	0.00375807518348242	0.0344	0.0501	0.0445	0.0445	TRUE	0.5043
FBgn0026179	799	274	243	1048	466	464	402	428	346	534	652	569	488.63	392	585	1.486	0.571	3.721	0.000198555391841703	0.00383629690918449	0.0078	0.0193	0.0147	0.0147	TRUE	0.1131
FBgn0031245	288	93	128	495	175	206	145	145	182	252	245	252	203.74	157	250	1.596	0.675	3.71	0.000207338045811092	0.00398684507714778	0.0013	0.0283	0.0183	0.0183	TRUE	0.1772
FBgn0031769	2288	765	827	2966	1143	1254	1152	1196	1178	1512	1599	1537	1362.41	1175	1549	1.318	0.399	3.709	0.000207690144357985	0.00398684507714778	0	0.0152	0.0075	0.0075	TRUE	0.0091
FBgn0029664	1026	331	384	1527	482	608	517	517	547	779	674	745	629.87	527	733	1.394	0.48	3.666	0.000246713922563942	0.00463775338048988	0.0021	0.0178	0.0106	0.0106	TRUE	0.0554
FBgn0085339	2334	702	745	2767	1157	1224	1176	1097	1062	1411	1618	1500	1310.61	1112	1510	1.355	0.438	3.666	0.000246805333148333	0.00463775338048988	0.0033	0.0152	0.0094	0.0094	TRUE	0.0469
FBgn0261989	11	6	3	74	17	17	6	9	4	38	24	21	16.92	6	28	4.513	2.174	3.659	0.000253057200454268	0.00473525311858438	0	0.199	0.1524	0.1524	TRUE	0.9654
