Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0052772	1250	403	402	921	335	392	630	630	573	470	469	480	541.81	611	473	0.773	-0.372	-3.415	0.000636730466830045	0.00577259194801249	0	0.0094	0.0066	0.0066	TRUE	NA
FBgn0010053	443	114	176	301	82	119	223	178	251	153	115	146	177.68	217	138	0.637	-0.65	-3.408	0.000653957146455947	0.00590479000793894	0.0221	0.0192	0.0199	0.0199	TRUE	NA
FBgn0010909	33575	11470	10588	26061	10244	10623	16911	17925	15087	13289	14328	13020	15093.39	16641	13546	0.814	-0.297	-3.408	0.000655057719678872	0.00590875296639629	0.0066	0.0047	0.0054	0.0054	TRUE	NA
FBgn0011300	2927	815	892	2476	727	819	1474	1274	1271	1263	1017	1004	1217.03	1340	1095	0.817	-0.292	-3.402	0.000669153247545658	0.00600556633224394	0	0.0067	0.0044	0.0044	TRUE	NA
FBgn0264090	80	26	24	28	13	9	40	41	34	14	18	11	26.44	38	14	0.373	-1.421	-3.402	0.000669091137618505	0.00600556633224394	0	0.1033	0.0774	0.0774	TRUE	NA
FBgn0037659	4517	1642	1614	3657	1435	1660	2275	2566	2300	1865	2007	2035	2174.58	2380	1969	0.827	-0.274	-3.401	0.000672173165841565	0.00602661282225419	0.0014	0.0057	0.0042	0.0042	TRUE	NA
FBgn0010379	5012	1491	1443	3968	1324	1464	2524	2330	2056	2023	1852	1794	2096.71	2303	1890	0.821	-0.285	-3.4	0.000674274037493936	0.00603333382246578	0.0022	0.0058	0.0045	0.0045	TRUE	NA
FBgn0027620	4646	1517	1408	3826	1269	1386	2340	2371	2006	1951	1775	1699	2023.63	2239	1808	0.808	-0.308	-3.4	0.000674088648840465	0.00603333382246578	0.0041	0.0058	0.0054	0.0054	TRUE	NA
FBgn0266084	986	362	321	716	269	319	497	566	457	365	376	391	442.01	507	377	0.745	-0.425	-3.392	0.000693034778184492	0.00618880056918751	0.0046	0.0104	0.0089	0.0089	TRUE	NA
FBgn0037686	39083	10830	13225	29376	11309	12441	19685	16925	18844	14980	15817	15249	16916.68	18485	15349	0.831	-0.268	-3.387	0.000707023245789035	0.00629573365761752	0.0041	0.0047	0.0044	0.0044	TRUE	NA
FBgn0000568	9081	3396	2723	6800	2622	2832	4574	5307	3880	3468	3667	3471	4061.17	4587	3535	0.771	-0.376	-3.377	0.000732058771389316	0.00649184193496186	0.016	0.0052	0.0087	0.0087	TRUE	NA
FBgn0017550	4476	1609	1624	3440	1462	1696	2254	2515	2314	1754	2045	2079	2160.13	2361	1959	0.827	-0.275	-3.375	0.000739132014850545	0.00654157472013416	0.0017	0.0057	0.0043	0.0043	TRUE	NA
FBgn0036147	3492	1104	1287	2830	1056	1219	1759	1725	1834	1443	1477	1494	1622.03	1773	1471	0.83	-0.27	-3.375	0.000738776155201824	0.00654157472013416	0	0.0061	0.0039	0.0039	TRUE	NA
FBgn0034417	413	147	181	277	126	135	208	230	258	141	176	165	196.43	232	161	0.692	-0.532	-3.374	0.000740054472205982	0.00654325389782121	0	0.0178	0.0125	0.0125	TRUE	NA
FBgn0038608	947	280	286	797	192	234	477	438	408	406	269	287	380.64	441	321	0.727	-0.46	-3.371	0.000749658922686487	0.00662161639919914	0.0079	0.0114	0.0105	0.0105	TRUE	NA
FBgn0037884	1793	593	720	1310	581	655	903	927	1026	668	813	803	856.53	952	761	0.794	-0.333	-3.366	0.000762688663584408	0.00671677491697117	0.0019	0.0076	0.0058	0.0058	TRUE	NA
FBgn0261986	1270	321	290	941	254	269	640	502	413	480	355	330	453.23	518	388	0.749	-0.416	-3.363	0.000770353902780289	0.00677759640574186	0.0034	0.0103	0.0085	0.0085	TRUE	NA
FBgn0026418	16813	6298	6954	13576	5945	7242	8468	9843	9909	6923	8315	8876	8722.27	9407	8038	0.852	-0.231	-3.362	0.000774185408269741	0.0068046020628433	0.001	0.0048	0.0033	0.0033	TRUE	NA
FBgn0038391	739	410	315	589	258	277	372	641	449	300	361	340	410.42	487	334	0.697	-0.52	-3.352	0.000803702540693279	0.00702944533632809	0.0247	0.0109	0.0147	0.0147	TRUE	NA
FBgn0038118	1056	362	386	775	327	347	532	566	550	395	457	425	487.58	549	426	0.772	-0.373	-3.35	0.00080909271682603	0.00706275460533377	0	0.0099	0.0067	0.0067	TRUE	NA
FBgn0031021	860	331	361	658	292	307	433	517	514	336	408	376	430.84	488	373	0.765	-0.386	-3.349	0.000812045730773083	0.00707470085444257	0	0.0106	0.0071	0.0071	TRUE	NA
FBgn0032601	434	187	208	366	102	152	219	292	296	187	143	186	220.47	269	172	0.655	-0.61	-3.346	0.00081920280631224	0.00713009849938431	0.0263	0.0164	0.019	0.019	TRUE	NA
FBgn0037248	4396	1162	1186	3560	1073	1157	2214	1816	1690	1815	1501	1418	1742.38	1907	1578	0.828	-0.272	-3.344	0.000825825245378568	0.00717375432026324	4e-04	0.006	0.0041	0.0041	TRUE	NA
FBgn0001098	1041	380	405	779	318	389	524	594	577	397	445	477	502.34	565	440	0.776	-0.365	-3.339	0.000841681246003539	0.00728315264225931	0	0.0097	0.0065	0.0065	TRUE	NA
FBgn0261261	2233	930	906	1844	809	819	1125	1453	1291	940	1131	1004	1157.45	1290	1025	0.798	-0.325	-3.337	0.00084654168492847	0.00731811930920739	0.0044	0.0068	0.0059	0.0059	TRUE	NA
FBgn0038515	1324	343	393	988	315	351	667	536	560	504	441	430	522.91	588	458	0.779	-0.361	-3.336	0.000850135186099966	0.00733498281340357	0	0.0095	0.0063	0.0063	TRUE	NA
FBgn0259938	2572	865	761	1994	644	810	1295	1352	1084	1017	901	993	1106.99	1244	970	0.781	-0.357	-3.33	0.000869285342219695	0.00747853382083032	0.0078	0.0069	0.0073	0.0073	TRUE	NA
FBgn0261283	30587	12623	12996	24369	11989	13727	15406	19727	18518	12427	16768	16825	16611.8	17884	15340	0.854	-0.228	-3.324	0.000887368045124273	0.00761210052157518	0.0014	0.0047	0.0033	0.0033	TRUE	NA
FBgn0023169	1632	658	763	1316	626	676	822	1028	1087	671	876	829	885.45	979	792	0.809	-0.306	-3.308	0.000940031604935735	0.00800031777741886	0	0.0075	0.005	0.005	TRUE	NA
FBgn0037116	1753	606	593	1403	513	572	883	947	845	715	717	701	801.5	892	711	0.799	-0.324	-3.308	0.000940686860726742	0.00800031777741886	0	0.0078	0.0056	0.0056	TRUE	NA
