Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	331.690	0.000000	0.000
FBtr0300738	2350	2172.183	0.182761	2.670
FBtr0300739	2172	1994.183	0.305350	4.095
FBtr0300737	2184	2006.183	0.215995	2.914
FBtr0300736	2338	2160.183	0.245630	3.568
FBtr0078628	2467	2289.183	0.256833	3.954
FBtr0300740	2479	2301.183	0.193638	2.997
FBtr0078627	2301	2123.183	0.317067	4.527
FBtr0300741	2313	2135.183	0.228130	3.276
FBtr0072762	889	711.475	61.066197	292.174
FBtr0346821	1270	1092.183	4.215764	30.964
FBtr0331460	900	722.473	2.117625	10.289
FBtr0303848	5005	4827.183	7.687043	249.537
FBtr0086122	1465	1287.183	0.462102	4.000
FBtr0335147	3125	2947.183	2.862831	56.739
FBtr0081459	3019	2841.183	21.774955	416.043
FBtr0305321	6523	6345.183	1.221206	52.109
FBtr0083716	5665	5487.183	21.189220	781.891
FBtr0078184	1305	1127.183	0.131924	1.000
FBtr0081691	765	587.551	0.000000	0.000
FBtr0085263	1228	1050.183	0.000000	0.000
FBtr0086342	492	314.704	0.000000	0.000
FBtr0086343	495	317.701	0.000000	0.000
FBtr0091847	1023	845.183	1.962242	11.153
FBtr0072393	1393	1215.183	81.765620	668.181
FBtr0343502	867	689.481	0.592105	2.745
FBtr0343753	3569	3391.183	3.172655	72.353
FBtr0433525	3725	3547.183	0.250819	5.983
FBtr0113895	961	783.438	14.495316	76.368
FBtr0345179	887	709.475	66.364455	316.632
FBtr0334135	4703	4525.183	0.327731	9.973
FBtr0334137	4561	4383.183	0.991088	29.213
FBtr0334141	5321	5143.183	0.225549	7.801
FBtr0334139	4203	4025.183	0.523833	14.179
FBtr0334140	5704	5526.183	0.202899	7.540
FBtr0344148	4894	4716.183	0.287239	9.110
FBtr0334142	5071	4893.183	0.257893	8.486
FBtr0334138	5563	5385.183	0.201266	7.289
FBtr0334136	3862	3684.183	1.154551	28.605
FBtr0085105	995	817.404	3.274567	18.000
FBtr0346720	2745	2567.183	0.000000	0.000
FBtr0076089	442	264.750	0.000000	0.000
FBtr0087500	1417	1239.183	12.360047	103.000
FBtr0073094	1694	1516.183	12.956815	132.109
FBtr0073093	1577	1399.183	82.353983	774.891
FBtr0343515	1092	914.183	0.889391	5.468
FBtr0072451	975	797.418	11.847504	63.532
FBtr0071607	2252	2074.183	2.724300	38.000
FBtr0081516	4704	4526.183	0.197123	6.000
FBtr0300749	931	753.464	2.659956	13.478
FBtr0346532	1185	1007.183	0.179974	1.219
FBtr0073076	880	702.476	75.211751	355.303
FBtr0089289	4677	4499.183	1.164548	35.235
FBtr0100448	4590	4412.183	2.708093	80.352
FBtr0089290	4681	4503.183	1.735549	52.558
FBtr0089288	4037	3859.183	12.976082	336.760
FBtr0100447	4417	4239.183	2.116983	60.351
FBtr0329933	4663	4485.183	1.838477	55.452
FBtr0336949	2826	2648.183	21.410554	381.292
FBtr0088786	1378	1200.183	80.391846	648.845
FBtr0088785	1869	1691.183	14.324573	162.912
FBtr0303077	607	429.640	0.000000	0.000
FBtr0339716	615	437.636	0.084274	0.248
FBtr0085459	600	422.642	66.410557	188.752
FBtr0070973	1218	1040.183	0.285916	2.000
FBtr0089252	2767	2589.183	3.018195	52.552
FBtr0334488	2840	2662.183	1.505563	26.954
FBtr0334489	2902	2724.183	1.927879	35.318
FBtr0100600	3804	3626.183	2.959788	72.176
