"ID","Untreated_1","Untreated_3","Untreated_4","RNAi_1","RNAi_3","RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0347567",254.529127440442,250.53866114616,330.397183661921,1607.87076562887,1589.80256183253,1649.88439838939,0.000198909820308725,2.54989784782013,8.94378688438514e-08,5.85592813135394,3.70134377494189
"FBtr0337020",171.901705772499,126.695811490219,140.146968453692,1208.92031267757,1404.38359678877,1182.30758030715,0.000315433715143325,3.11815113632593,1.59560669755504e-07,8.68274452928138,3.50109188894575
"FBtr0076772",535.201174402503,481.855257005047,522.743778243234,1375.27023879062,1393.30301591954,1467.8712280172,0.000317363998431511,1.46165445295606,2.64855113353004e-07,2.75424033199724,3.49844234087458
"FBtr0089581",599.442036230539,661.040035952034,555.574909386364,2241.01895613755,2549.4120522967,2172.86397477444,0.000323330092705643,1.93850559582084,2.90764471857593e-07,3.83308395068921,3.49035387321768
"FBtr0072506",704.787130567395,807.012191431153,799.131965681761,1972.21001504866,1915.5592051458,2035.78332303726,0.000348975317628725,1.35922385041377,4.77037350408316e-07,2.56547123645318,3.45720528879073
"FBtr0305073",182.793260806662,177.146714686032,138.072978181886,741.028882195032,775.814860909228,830.279392759621,0.000348975317628725,2.24384667787782,5.2958259757057e-07,4.73658304126553,3.45720528879073
"FBtr0077247",406.434536736999,409.253368754252,414.178926713971,982.482135777633,910.695480170202,992.146789195338,0.000467118592601899,1.22848446309431,9.28297155575209e-07,2.34320708918455,3.33057284625598
"FBtr0342813",182.931631343167,226.400252181828,186.882164072814,635.8527800943,648.228397374963,639.859226783391,0.000467118592601899,1.69771938432956,9.16267580229843e-07,3.24387760092363,3.33057284625598
"FBtr0089349",1048.59587084559,775.551375467157,818.276645261966,3011.96704204038,3467.68846507101,3343.22460390645,0.000549797239388176,1.90402159021069,1.20788241978316e-06,3.74254999889207,3.25979744514277
"FBtr0088136",72.6480902002781,69.0644819526932,103.699403816114,462.909364626653,426.526251605858,492.314907249914,0.000593155826598928,2.52241220914196,1.53309876920892e-06,5.7454193984465,3.2268311991451
"FBtr0071537",584.775003374937,521.712055521861,570.036069955212,1145.16484833478,1169.4278018594,1184.97454723395,0.000687850936809015,1.06307723326091,1.89437364566332e-06,2.0893833758198,3.16250566690309
"FBtr0087258",729.245056282398,555.996100143084,505.783687582461,2467.53938058426,3018.96701237128,2544.33109901591,0.000687850936809015,2.17565619304246,1.87953016359015e-06,4.51791207167227,3.16250566690309
"FBtr0113386",14.5126259049868,16.78166240273,15.9698956391487,100.050482787369,110.872964132126,89.5311245874022,0.000467118592601899,2.69147283678469,9.56112572350527e-07,6.45972539496073,3.33057284625598
"FBtr0078841",21.3417825282757,26.9654645474583,28.0602239138175,132.243466560828,126.561410994321,129.280325050836,0.000549797239388176,2.36492613767293,1.23605494466766e-06,5.15126277969852,3.25979744514277
"FBtr0342607",28.1747892423286,31.2316378768586,27.7431146933603,123.732249517528,121.222467267802,135.792355255286,0.000607827266784515,2.11833752684682,1.60565880951395e-06,4.34193318908365,3.21621982161632
"FBtr0113323",53.1854179225161,46.4519847768832,53.0838675879449,191.18543560645,222.044339165222,193.625188721176,0.000733076318179642,1.98925537545037,2.06012904164693e-06,3.9703202339408,3.13485081002607
"FBtr0342805",87.4757701335984,107.094449031311,102.07761220961,320.82057879344,325.660583221682,300.952400507732,0.000826676477957022,1.68313558360793,2.60194934608775e-06,3.21125133214238,3.08266441950154
"FBtr0088266",216.953315863989,222.119973681671,212.112499196359,512.163418657698,487.085002299601,482.148402469355,0.000865338475826144,1.18561815841387,2.89444407896769e-06,2.27460834997421,3.06281398567883
"FBtr0347200",289.252789007093,279.289525342259,291.846873276377,694.861247897961,633.493307640495,724.646756589985,0.000865338475826144,1.25176831116278,2.96681918982659e-06,2.38133123940565,3.06281398567883
"FBtr0077236",190.670138103954,185.661330327551,155.735604196345,474.575619231901,496.648491633226,505.57975554196,0.000876370313479333,1.47593340106931,3.10315477457273e-06,2.78163553220155,3.05731234232822
"FBtr0075699",451.990890390254,277.709536738773,420.502448577978,1606.35480910961,1702.1277249662,1791.89174136565,0.000948943990954238,2.17738449949393,3.84015104253064e-06,4.52332764135734,3.0227594199619
"FBtr0342810",223.059623160328,328.026190937137,314.861077197558,1856.28803911586,2044.40825879415,1451.27576655335,0.000973473824605208,2.6345803317775,4.23552826148781e-06,6.20994431508572,3.01167572157831
"FBtr0302291",4344.30263973146,3845.25894631764,3993.9248563043,8524.53030944407,10083.0197496027,8559.23837847475,0.000965216138458474,1.15392758682482,4.02772352229601e-06,2.22518854950399,3.01537542527872
"FBtr0346714",117.89112998912,63.0804170223926,63.4382992821808,530.705239122459,602.353424799853,612.850921749133,0.00100329773991166,2.90440884350541,4.5542446512332e-06,7.48710944442275,2.99857016607016
"FBtr0073426",732.127521210538,475.225445277049,447.322792869048,2439.62080605384,2839.52615691234,3019.29372688861,0.00100329773991166,2.3558300644977,4.62942240994114e-06,5.11888666459563,2.99857016607016
"FBtr0076454",974.027966951891,797.148329999613,994.055383935671,2163.63195353542,2231.40367526201,2463.9236816381,0.00100329773991166,1.31469512320569,4.7607026352168e-06,2.48749758189079,2.99857016607016
"FBtr0333073",237.276200374473,246.3714190127,219.263616961104,557.902722709908,614.049192084272,524.189603440476,0.00118909654079444,1.2694242805233,6.88382102640666e-06,2.4106534720569,2.92478288429446
"FBtr0332963",88.5737501268296,102.619588221085,90.1626286305724,245.684070972764,242.185673876776,242.021006594909,0.00118045469086078,1.37945472317776,6.63474983622288e-06,2.60170019399251,2.92795067769731
"FBtr0071849",181.653779507694,142.674344699129,174.004954908908,440.407440890974,497.59122303266,508.259039274329,0.00120045003163746,1.54035401634851,7.08449040703314e-06,2.90865868955121,2.92065591260467
"FBtr0085987",10.0914272743275,8.15955302733928,7.31617747914928,47.7415088012265,57.4798869451297,48.8214118545556,0.000965216138458474,2.54599408780857,4.11462015864456e-06,5.84010410971251,3.01537542527872
"FBtr0340135",1303.74434284534,1405.39836533159,1244.4089973185,2560.37166577229,2559.91279927759,2945.68872272358,0.00118344760212284,1.02691849665785,6.71808721978455e-06,2.03766727439018,2.92685096596699
"FBtr0332202",281.214073149133,394.240112896064,378.191603704801,1180.82657634931,1049.26777713219,1021.47353832203,0.00123245473071649,1.63826614012416,7.57882885124229e-06,3.1129149059832,2.90922902382444
"FBtr0301143",274.643538319497,224.921771231865,269.319520602591,652.380047973164,686.100811586392,788.845922172608,0.00123245473071649,1.46766973719459,7.89397012290013e-06,2.76574804847838,2.90922902382444
"FBtr0087617",179.630694268249,185.4286187507,171.919134289597,431.946277179126,517.690865297031,440.883071214525,0.00129150149250927,1.36650798831223,8.49289987767451e-06,2.57845700336146,2.88890508760281
"FBtr0076668",46.4578897953059,48.6295955841914,38.0191023651997,153.540453971448,154.528504545714,183.650979398831,0.00123245473071649,1.89155673907703,7.89679852190199e-06,3.71035374288469,2.90922902382444
