"ID","Untreated_1","Untreated_3","Untreated_4","RNAi_1","RNAi_3","RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0342811",6239.00403235523,6980.5455170192,5823.9030343393,817.945073592333,766.752116741749,788.712814084822,0.000125741949584061,-3.00052757184011,7.09221485375945e-09,0.124954297740134,3.90051981035265
"FBtr0073421",4856.50942569297,4819.45333541672,5327.99500053582,542.647100563082,411.167771562967,543.00430426876,0.000125741949584061,-3.33587172897741,2.12019923983915e-08,0.0990381565257703,3.90051981035265
"FBtr0100457",1280.6233924346,1346.15618006072,1204.52401102554,178.126016297299,194.086669262398,185.37477876486,0.000125741949584061,-2.78117324331126,2.04124978771594e-08,0.145473346859053,3.90051981035265
"FBtr0089348",1650.22580239527,1684.85347527861,1541.7792688718,405.187810273068,428.172444060467,415.544166947253,0.000142231046556835,-1.96529873722454,3.87578090507464e-08,0.256086172794531,3.84700559434733
"FBtr0084549",1103.19205787865,1107.21820553663,1226.22551787602,157.236166184555,127.541226634042,142.16811277276,0.000142231046556835,-3.01404161883968,3.99705054397581e-08,0.123789287869047,3.84700559434733
"FBtr0300190",1051.54726585495,1172.58316433198,1041.54566612152,149.741398641205,113.852482722016,137.502255586277,0.000198909820308725,-3.03048189317297,7.81853802017323e-08,0.122386650427003,3.70134377494189
"FBtr0113470",767.535462593449,823.456110389121,764.366743722295,139.169566375354,151.763374149234,125.404248246793,0.000198909820308725,-2.50300155035156,8.54805727271115e-08,0.176409290852713,3.70134377494189
"FBtr0075753",3388.21462645523,3945.03628562167,3315.6932568097,1012.53637996315,919.001349056091,897.440986119136,0.000317363998431511,-1.91040738290388,2.22913432157713e-07,0.266017417989494,3.49844234087458
"FBtr0334328",1929.81280130486,1908.19668857089,2129.49676608707,687.521790066769,725.136242966843,662.716177229158,0.000317363998431511,-1.5226211949953,2.58051196774312e-07,0.348052973402338,3.49844234087458
"FBtr0089484",608.069947278062,656.738583785445,627.289150770408,139.545768282095,121.120938219728,112.921550525791,0.000317363998431511,-2.34167870648133,1.78963026612022e-07,0.197280640449117,3.49844234087458
"FBtr0087533",5002.01531785758,5197.22301336376,5269.89175981742,2532.14133875154,2531.929394301,2622.94502347012,0.000337905508224052,-1.00915091764761,3.52782662704807e-07,0.496838570583054,3.47120472869917
"FBtr0077409",787.305506479633,823.324730109633,809.15617822133,213.122833054113,215.380074913939,253.680299595921,0.000337905508224052,-1.83160550487818,3.22888742118045e-07,0.280951789606501,3.47120472869917
"FBtr0072956",6657.41933070314,8129.83816231786,6796.57330929087,1718.90644724484,1501.74767142273,1321.25844186073,0.000337905508224052,-2.25080522077601,3.93208062878103e-07,0.210106802803712,3.47120472869917
"FBtr0308065",1252.51721043451,1202.21720106986,1339.39174847323,460.517329423601,416.018318310549,446.419611546745,0.000337905508224052,-1.51952926435106,3.98988876658998e-07,0.348799707560638,3.47120472869917
"FBtr0070985",586.046574378748,605.629899692574,529.814951392248,80.7766380975159,102.678823013926,98.8135431723147,0.000317363998431511,-2.61553872739486,2.67561824217214e-07,0.16317153092361,3.49844234087458
