Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0342820	108	82	71	494	210	169	56	123	100	252	288	210	171.51	93	250	2.842	1.507	4.659	3.18128163959494e-06	0.000104804568875371	0.071	0.0639	0.0674	0.0674	TRUE	NA
FBtr0087618	10531	3915	2627	19159	7933	7662	5450	5865	3700	9783	10894	9505	7533.01	5005	10061	2.013	1.01	4.653	3.27801808446684e-06	0.000107790739651121	0.0378	0.0268	0.0338	0.0338	TRUE	NA
FBtr0342808	118	93	80	694	240	196	61	139	113	354	330	243	206.7	104	309	3.117	1.64	4.652	3.2902152935474e-06	0.000107991092315672	0.1108	0.0574	0.0826	0.0826	TRUE	NA
FBtr0074805	2083	488	516	3181	816	909	1078	731	727	1624	1121	1128	1068.08	845	1291	1.53	0.613	4.644	3.42308689416785e-06	0.000111319540891036	0	0.032	0.0114	0.0114	TRUE	NA
FBtr0080389	5399	552	633	7712	2382	1997	2794	827	892	3938	3271	2477	2366.52	1504	3229	2.51	1.328	4.641	3.46907602657261e-06	0.000112608117405681	0.093	0.0287	0.0583	0.0583	TRUE	NA
FBtr0075191	1935	1336	1729	3896	2792	2670	1001	2001	2436	1989	3834	3312	2429.05	1813	3045	1.728	0.789	4.63	3.66347935943009e-06	0.000118052119030378	0.0143	0.0286	0.0204	0.0204	TRUE	NA
FBtr0299538	529	379	364	1300	708	675	274	568	513	664	972	837	637.96	452	824	1.898	0.925	4.627	3.71621453834937e-06	0.000119533729814434	0.0193	0.0361	0.027	0.027	TRUE	NA
FBtr0114602	1050	173	126	1576	686	742	543	259	177	805	942	921	607.89	326	889	2.993	1.582	4.619	3.86453106022226e-06	0.000123854019902884	0.1383	0.0366	0.0819	0.0819	TRUE	NA
FBtr0080846	556	177	169	1083	294	389	288	265	238	553	404	483	371.72	264	480	1.819	0.863	4.612	3.99655525485497e-06	0.000127392899123674	0.0048	0.0434	0.0219	0.0219	TRUE	NA
FBtr0339428	66	84	183	398	313	439	34	126	258	203	430	545	265.91	139	393	3.341	1.74	4.593	4.37197690823075e-06	0.000138362510703954	0.1565	0.0504	0.0975	0.0975	TRUE	NA
FBtr0300542	97	60	45	268	136	133	50	90	63	137	187	165	115.35	68	163	2.443	1.289	4.576	4.75082500397929e-06	0.000149816123253828	0.0055	0.0824	0.0461	0.0461	TRUE	NA
FBtr0345339	60	15	12	184	61	53	31	22	17	94	84	66	52.32	23	81	3.464	1.792	4.571	4.85998645011568e-06	0.000152714068008875	0	0.1505	0.08	0.08	TRUE	NA
FBtr0087292	1127	251	314	2171	458	583	583	376	442	1109	629	723	643.73	467	820	1.737	0.796	4.564	5.02148162585814e-06	0.000156952352372891	0.0073	0.036	0.0199	0.0199	TRUE	NA
FBtr0331664	29	29	32	194	81	104	15	43	45	99	111	129	73.81	34	113	3.659	1.871	4.563	5.03410969073405e-06	0.000157069549451104	0	0.1142	0.1003	0.1003	TRUE	NA
FBtr0088832	1854	612	751	2984	1109	1240	959	917	1058	1524	1523	1538	1253.2	978	1528	1.563	0.644	4.557	5.18246367237727e-06	0.000161413670471877	0.0018	0.0311	0.0135	0.0135	TRUE	NA
FBtr0085602	275	151	128	572	257	329	142	226	180	292	353	408	267	183	351	1.935	0.953	4.556	5.20439186785496e-06	0.000161811768952939	0.0063	0.0503	0.0271	0.0271	TRUE	NA
FBtr0083035	4641	1623	1721	6395	2850	3333	2402	2431	2424	3266	3914	4135	3095.26	2419	3772	1.55	0.633	4.555	5.24070219882291e-06	0.000162654846665572	0.0047	0.028	0.0135	0.0135	TRUE	NA
FBtr0075707	24	16	11	66	68	82	12	24	15	34	93	102	46.78	17	76	4.004	2.001	4.552	5.31508356844604e-06	0.000164386614352061	0.0332	0.1652	0.1024	0.1024	TRUE	NA
FBtr0302561	106	15	24	247	82	158	55	22	34	126	113	196	90.98	37	145	3.985	1.994	4.55	5.36554295846999e-06	0.000165453382834779	0.1433	0.0975	0.1191	0.1191	TRUE	NA
FBtr0070822	28245	33006	37192	56681	52912	62280	14616	49447	52390	28944	72662	77264	49220.48	38818	59623	1.625	0.7	4.545	5.48671867427731e-06	0.000168809634898504	0.0109	0.0261	0.0171	0.0171	TRUE	NA
FBtr0308620	3324	884	744	5183	1671	1627	1720	1324	1048	2647	2295	2018	1842.05	1364	2320	1.718	0.781	4.539	5.65400018461216e-06	0.000173654370253427	0.0138	0.0295	0.0206	0.0206	TRUE	NA
FBtr0079523	484	117	125	970	245	231	250	175	176	495	336	287	286.69	200	373	1.846	0.885	4.527	5.9810741277389e-06	0.000183064329401088	0.003	0.0486	0.023	0.023	TRUE	NA
FBtr0082018	475	156	186	953	301	336	246	234	262	487	413	417	343.06	247	439	1.779	0.831	4.525	6.05164495601644e-06	0.000184904405728647	0.0021	0.0449	0.0208	0.0208	TRUE	NA
FBtr0088073	1978	756	769	2835	1257	1414	1024	1133	1083	1448	1726	1754	1361.24	1080	1643	1.515	0.599	4.498	6.85301458592109e-06	0.000207242189811162	0.0011	0.0307	0.012	0.012	TRUE	NA
FBtr0334633	26	8	10	84	53	50	13	12	14	43	73	62	36.21	13	59	4.277	2.097	4.495	6.94372942539891e-06	0.000209270046447585	0.0196	0.2059	0.1093	0.1093	TRUE	NA
FBtr0077136	271	74	78	589	152	164	140	111	110	301	209	203	178.99	120	238	1.969	0.977	4.492	7.05103615323196e-06	0.000211782479773899	2e-04	0.0623	0.027	0.027	TRUE	NA
FBtr0340405	295	82	81	1157	183	168	153	123	114	591	251	208	240.02	130	350	2.482	1.311	4.488	7.1748866463368e-06	0.000214773129712934	0.0568	0.0531	0.0548	0.0548	TRUE	NA
FBtr0339974	143	26	32	397	108	73	74	39	45	203	148	91	99.94	53	147	2.798	1.484	4.483	7.35790414238963e-06	0.000219508738925826	0.0354	0.0911	0.0633	0.0633	TRUE	NA
FBtr0110921	55	31	23	251	115	67	28	46	32	128	158	83	79.42	35	123	3.512	1.812	4.457	8.32089772541898e-06	0.000244933447022275	0.0909	0.108	0.0996	0.0996	TRUE	NA
FBtr0087870	4	2	1	48	20	26	2	3	1	25	27	32	15.12	2	28	12.839	3.682	4.454	8.43988236802587e-06	0.000247611872259943	0	0.457	0.2388	0.2388	TRUE	NA
FBtr0336697	43	19	32	199	74	77	22	28	45	102	102	96	65.76	32	100	3.242	1.697	4.439	9.05755001804395e-06	0.000264854739453249	0.0345	0.125	0.0831	0.0831	TRUE	NA
FBtr0303750	485	164	155	2224	314	350	251	246	218	1136	431	434	452.68	238	667	2.523	1.335	4.433	9.29123686813482e-06	0.00027123972183857	0.0852	0.0403	0.0618	0.0618	TRUE	NA
FBtr0307015	11212	2488	2480	14912	6530	6562	5802	3727	3493	7615	8967	8141	6290.93	4341	8241	1.947	0.961	4.428	9.52980333384942e-06	0.000277289063781464	0.0363	0.027	0.0338	0.0338	TRUE	NA
FBtr0300941	561	143	168	1114	272	299	290	214	237	569	374	371	342.42	247	438	1.758	0.814	4.424	9.6672049618833e-06	0.000280364791771602	0.003	0.0449	0.0207	0.0207	TRUE	NA
FBtr0086506	43	24	19	376	81	56	22	36	27	192	111	69	76.28	28	124	4.25	2.087	4.419	9.91457344160301e-06	0.000287068279468738	0.1623	0.1113	0.1357	0.1357	TRUE	NA
FBtr0081882	7449	2992	3338	10105	5157	5867	3855	4482	4702	5160	7082	7279	5426.6	4346	6507	1.484	0.57	4.418	9.98023530587766e-06	0.000288497292150787	0.003	0.0271	0.0118	0.0118	TRUE	NA
FBtr0072712	26	11	7	103	38	52	13	16	10	53	52	65	34.85	13	57	4.228	2.08	4.411	1.02953536307826e-05	0.000297120882678916	0	0.2129	0.1111	0.1111	TRUE	NA
FBtr0084910	100	102	137	226	227	283	52	153	193	115	312	351	195.96	133	259	2.014	1.01	4.4	1.08457860052391e-05	0.000311481818536826	0.0063	0.0592	0.0315	0.0315	TRUE	NA
FBtr0343443	3737	1830	1798	6079	2653	3324	1934	2742	2533	3104	3643	4124	3013.21	2403	3624	1.516	0.6	4.383	1.16873452196256e-05	0.000333485200452251	0.004	0.0281	0.0132	0.0132	TRUE	NA
FBtr0113380	5	2	2	59	20	22	3	3	3	30	27	27	15.55	3	28	10.33	3.369	4.383	1.17191796836378e-05	0.000333855084997161	0	0.4451	0.219	0.219	TRUE	NA
FBtr0082167	560	152	184	928	305	359	290	228	259	474	419	445	352.46	259	446	1.723	0.785	4.38	1.18729771531687e-05	0.000337615444499141	0	0.0444	0.0198	0.0198	TRUE	NA
FBtr0087369	216	60	65	430	129	157	112	90	92	220	177	195	147.45	98	197	2.017	1.012	4.38	1.18893461038361e-05	0.000337615444499141	0	0.0701	0.0301	0.0301	TRUE	NA
FBtr0079779	168	50	55	325	122	160	87	75	77	166	168	198	128.55	80	177	2.205	1.141	4.379	1.19395227220301e-05	0.000337981949380194	0	0.0766	0.0392	0.0392	TRUE	NA
FBtr0334654	13	7	18	83	102	44	7	10	25	42	140	55	46.6	14	79	5.689	2.508	4.379	1.19404622894478e-05	0.000337981949380194	0.2183	0.1658	0.1902	0.1902	TRUE	NA
FBtr0070600	905	310	279	1364	586	617	468	464	393	697	805	765	598.74	442	756	1.703	0.768	4.376	1.20824633578064e-05	0.000339465498577329	0.0075	0.0368	0.0203	0.0203	TRUE	NA
FBtr0088052	206	50	19	560	139	136	107	75	27	286	191	169	142.31	70	215	3.204	1.68	4.376	1.20888171445208e-05	0.000339465498577329	0.1291	0.0717	0.0939	0.0939	TRUE	NA
FBtr0301708	392	77	31	1035	245	179	203	115	44	529	336	222	241.48	121	362	3.163	1.661	4.376	1.20673568180083e-05	0.000339465498577329	0.1581	0.0529	0.096	0.096	TRUE	NA
FBtr0308213	497	118	95	874	320	260	257	177	134	446	439	323	296.01	189	403	2.169	1.117	4.377	1.20483008442936e-05	0.000339465498577329	0.0369	0.0479	0.0424	0.0424	TRUE	NA
