Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0345204	1279	306	209	625	162	72	662	458	294	319	222	89	340.94	471	210	0.436	-1.197	-3.294	0.000989113099432154	0.0155403195755366	0.1511	0.045	0.0909	0.0909	TRUE	NA
FBtr0333212	1330	511	439	1059	289	308	688	766	618	541	397	382	565.32	691	440	0.632	-0.662	-3.284	0.00102243158054187	0.0160211134555945	0.0188	0.0374	0.0272	0.0272	TRUE	NA
FBtr0334067	235	74	130	100	50	66	122	111	183	51	69	82	102.87	139	67	0.477	-1.067	-3.283	0.00102667955820259	0.0160592290576146	0.0411	0.0893	0.0647	0.0647	TRUE	NA
FBtr0303039	3159	2847	2213	1405	1787	2212	1635	4265	3117	717	2454	2744	2488.8	3006	1972	0.602	-0.732	-3.28	0.0010396648466407	0.0162336370714215	0.0421	0.0285	0.0355	0.0355	TRUE	NA
FBtr0302568	193	73	50	80	28	37	100	109	70	41	38	46	67.48	93	42	0.447	-1.163	-3.278	0.00104493521892639	0.016287179698702	0.0234	0.1225	0.0725	0.0725	TRUE	NA
FBtr0073393	53	16	22	9	5	7	27	24	31	5	7	9	17.09	27	7	0.233	-2.1	-3.276	0.00105134251647362	0.0163590961212775	0	0.4073	0.2016	0.2016	TRUE	NA
FBtr0331591	300	75	67	100	42	50	155	112	94	51	58	62	88.79	120	57	0.471	-1.086	-3.276	0.00105139858062814	0.0163590961212775	0.0345	0.0993	0.0652	0.0652	TRUE	NA
FBtr0077838	91	129	111	60	59	62	47	193	156	31	81	77	97.55	132	63	0.509	-0.974	-3.274	0.00105933116730743	0.0164391470884524	0.0129	0.0927	0.0509	0.0509	TRUE	NA
FBtr0333277	410	142	176	254	107	109	212	213	248	130	147	135	180.78	224	137	0.612	-0.709	-3.273	0.00106334489207843	0.016466933331298	0	0.062	0.0277	0.0277	TRUE	NA
FBtr0333912	222	77	68	93	43	47	115	115	96	47	59	58	81.81	109	55	0.498	-1.004	-3.272	0.00106790768772834	0.0165142962444074	0	0.1056	0.0537	0.0537	TRUE	NA
FBtr0084863	404	129	152	245	97	89	209	193	214	125	133	110	164.19	205	123	0.598	-0.743	-3.267	0.00108546266596209	0.0167256205950838	0	0.0656	0.0304	0.0304	TRUE	NA
FBtr0334553	764	249	165	418	135	128	395	373	232	213	185	159	259.74	333	186	0.558	-0.841	-3.261	0.00110905131601467	0.0170276155521292	0.0347	0.051	0.0433	0.0433	TRUE	NA
FBtr0300997	583	181	102	280	65	94	302	271	144	143	89	117	177.56	239	116	0.489	-1.033	-3.246	0.00117241408939083	0.0178342026271824	0.0714	0.0626	0.0657	0.0657	TRUE	NA
FBtr0308700	640	223	199	262	153	167	331	334	280	134	210	207	249.44	315	184	0.568	-0.817	-3.236	0.00121375550492305	0.0183840313678027	0.032	0.052	0.0415	0.0415	TRUE	NA
FBtr0308827	442	191	236	308	107	56	229	286	332	157	147	69	203.5	282	124	0.441	-1.182	-3.234	0.00122064311261605	0.0184252536734561	0.1306	0.0579	0.0901	0.0901	TRUE	NA
FBtr0073208	663	160	210	395	115	148	343	240	296	202	158	184	236.97	293	181	0.619	-0.691	-3.232	0.00122826243018267	0.0185086802831019	0.0055	0.0534	0.0281	0.0281	TRUE	NA
FBtr0075806	100	30	32	29	16	11	52	45	45	15	22	14	32.03	47	17	0.349	-1.519	-3.23	0.00123710599837598	0.0185961046732092	0	0.2294	0.1177	0.1177	TRUE	NA
FBtr0078187	523	172	168	241	120	137	271	258	237	123	165	170	203.8	255	153	0.588	-0.766	-3.229	0.00124064985212398	0.0186240843728246	0.0158	0.0579	0.035	0.035	TRUE	NA
FBtr0299748	1300	114	126	894	57	89	673	171	177	457	78	110	277.7	340	215	0.593	-0.754	-3.225	0.00125960584203274	0.0188442046496901	0.0135	0.0494	0.0324	0.0324	TRUE	NA
FBtr0304712	206	23	37	82	12	14	107	34	52	42	16	17	44.82	64	25	0.391	-1.353	-3.225	0.00125884818421009	0.0188442046496901	0	0.1713	0.0913	0.0913	TRUE	NA
FBtr0339080	915	180	166	500	132	130	473	270	234	255	181	161	262.48	326	199	0.624	-0.68	-3.216	0.00130078677729242	0.0194195939890972	0.0084	0.0507	0.0274	0.0274	TRUE	NA
FBtr0110795	1589	674	641	814	444	615	822	1010	903	416	610	763	753.88	912	596	0.638	-0.649	-3.208	0.00133552534273495	0.0198711344308865	0.0226	0.0346	0.0281	0.0281	TRUE	NA
FBtr0300850	826	384	304	706	160	145	427	575	428	361	220	180	365.18	477	254	0.515	-0.958	-3.204	0.00135519162426014	0.020146802541837	0.0795	0.0438	0.0611	0.0611	TRUE	NA
FBtr0300979	638	544	554	475	421	394	330	815	780	243	578	489	539.17	642	437	0.69	-0.535	-3.201	0.00136784845295843	0.0203008447829594	0.0035	0.038	0.0181	0.0181	TRUE	NA
FBtr0343155	4633	1835	2056	2678	1603	1758	2397	2749	2896	1368	2201	2181	2298.75	2681	1917	0.7	-0.515	-3.201	0.00136767132944514	0.0203008447829594	0.0107	0.0288	0.0182	0.0182	TRUE	NA
FBtr0305618	917	238	135	403	117	120	475	357	190	206	161	149	256.1	341	172	0.516	-0.955	-3.2	0.0013755447526795	0.0203808728807815	0.0673	0.0514	0.0591	0.0591	TRUE	NA
FBtr0334762	11254	688	2750	4434	126	29	5824	1031	3874	2264	173	36	2200.23	3576	824	0.084	-3.58	-3.199	0.00137919759774078	0.0204178951478093	0.8995	0.0289	0.3457	0.8995	TRUE	NA
FBtr0082481	443	138	145	107	108	85	229	207	204	55	148	105	158.11	213	103	0.448	-1.158	-3.199	0.00138039430411161	0.0204185247776242	0.1083	0.0671	0.0869	0.0869	TRUE	NA
FBtr0080975	1076	215	192	455	143	172	557	322	270	232	196	213	298.58	383	214	0.579	-0.789	-3.198	0.00138426836940777	0.0204568016069063	0.0325	0.0477	0.0397	0.0397	TRUE	NA
FBtr0110918	1472	590	518	485	437	428	762	884	730	248	600	531	625.67	792	460	0.543	-0.881	-3.197	0.00138760736692598	0.0204568016069063	0.0707	0.0363	0.053	0.053	TRUE	NA
FBtr0306170	684	62	100	160	40	64	354	93	141	82	55	79	133.96	196	72	0.417	-1.264	-3.197	0.00138684500267604	0.0204568016069063	0.13	0.0746	0.1008	0.1008	TRUE	NA
FBtr0089350	149	422	766	22	334	459	77	632	1079	11	459	569	471.28	596	346	0.399	-1.326	-3.197	0.00139094208088402	0.0204888895528053	0.2357	0.0397	0.1174	0.1174	TRUE	NA
FBtr0334566	333	120	78	125	50	72	172	180	110	64	69	89	113.96	154	74	0.476	-1.071	-3.194	0.00140073847238458	0.020581780992488	0.0576	0.0831	0.0704	0.0704	TRUE	NA
FBtr0300976	107	8	19	17	4	4	55	12	27	9	5	5	18.88	31	6	0.214	-2.227	-3.19	0.00142136304239301	0.0208501936840587	0.0981	0.3712	0.2379	0.2379	TRUE	NA
FBtr0085870	1155	269	302	653	217	246	598	403	425	333	298	305	393.79	475	312	0.662	-0.595	-3.188	0.00143275847714999	0.0209999421866284	0.0073	0.0425	0.0222	0.0222	TRUE	NA
FBtr0329974	1329	1915	1323	968	676	1117	688	2869	1864	494	928	1386	1371.44	1807	936	0.556	-0.847	-3.187	0.00143739138499607	0.0210504064503025	0.0712	0.0307	0.0501	0.0501	TRUE	NA
FBtr0112740	381	81	150	222	54	64	197	121	211	113	74	79	132.79	176	89	0.5	-1.001	-3.184	0.00145364766230072	0.0212357397140892	0.0487	0.075	0.0618	0.0618	TRUE	NA
FBtr0305218	255	51	61	88	37	32	132	76	86	45	51	40	71.62	98	45	0.463	-1.112	-3.183	0.0014563923895993	0.0212582819838293	0.0269	0.1169	0.0702	0.0702	TRUE	NA
FBtr0334639	871	181	173	550	127	140	451	271	244	281	174	174	265.75	322	210	0.656	-0.609	-3.181	0.00146731007804749	0.0213999856477644	1e-04	0.0504	0.0218	0.0218	TRUE	NA
FBtr0071352	588	125	177	133	107	102	304	187	249	68	147	127	180.38	247	114	0.443	-1.175	-3.181	0.00146915840649416	0.0214048638952457	0.1231	0.062	0.0917	0.0917	TRUE	NA
FBtr0088457	519	126	123	222	83	101	269	189	173	113	114	125	163.87	210	117	0.562	-0.831	-3.181	0.00147006441878489	0.0214048638952457	0.0217	0.0657	0.042	0.042	TRUE	NA
FBtr0088100	1754	674	518	1141	445	391	908	1010	730	583	611	485	720.98	883	560	0.634	-0.657	-3.18	0.00147416704259049	0.02144694831453	0.0232	0.035	0.0292	0.0292	TRUE	NA
FBtr0081997	855	304	422	485	194	310	442	455	594	248	266	385	398.5	497	300	0.599	-0.74	-3.172	0.00151611158711488	0.0220198809855963	0.0309	0.0423	0.0364	0.0364	TRUE	NA
FBtr0079801	311	68	79	186	43	35	161	102	111	95	59	43	95.26	125	66	0.52	-0.944	-3.165	0.00155112489090312	0.0224557695948994	0	0.0943	0.0506	0.0506	TRUE	NA
FBtr0081216	1425	800	1025	871	734	760	737	1198	1444	445	1008	943	962.56	1126	799	0.69	-0.536	-3.163	0.00156392422988205	0.0225671970235264	0.01	0.0327	0.0196	0.0196	TRUE	NA
FBtr0088666	188	100	99	132	44	53	97	150	139	67	60	66	96.69	129	64	0.516	-0.954	-3.163	0.00156281687039191	0.0225671970235264	0.0189	0.0933	0.0536	0.0536	TRUE	NA
FBtr0085432	2056	639	701	1328	547	412	1064	957	987	678	751	511	824.85	1003	647	0.645	-0.633	-3.162	0.00156913560786966	0.022605519575588	0.0226	0.0338	0.0275	0.0275	TRUE	NA
FBtr0113477	157	152	83	92	17	50	81	228	117	47	23	62	93.04	142	44	0.332	-1.591	-3.16	0.00157522879897381	0.0226564005549965	0.2571	0.096	0.1677	0.1677	TRUE	NA
FBtr0300975	2537	681	803	1543	613	638	1313	1020	1131	788	842	792	980.9	1155	807	0.7	-0.514	-3.158	0.00158941483540074	0.0228233261794436	0.0077	0.0326	0.018	0.018	TRUE	NA
FBtr0345967	690	149	186	332	118	137	357	223	262	170	162	170	223.97	281	167	0.6	-0.737	-3.157	0.00159343656260652	0.0228625192449893	0.0166	0.055	0.0341	0.0341	TRUE	NA
FBtr0330661	989	133	122	659	83	95	512	199	172	337	114	118	241.87	294	190	0.638	-0.649	-3.152	0.00161956300676163	0.0231863649301838	1e-04	0.0529	0.0243	0.0243	TRUE	NA
FBtr0071346	245	54	40	64	12	34	127	81	56	33	16	42	59.23	88	30	0.357	-1.487	-3.15	0.00163106295052628	0.0233170594980682	0.1357	0.1359	0.1358	0.1358	TRUE	NA
FBtr0309256	427	54	126	219	41	40	221	81	177	112	56	50	116.18	160	73	0.442	-1.177	-3.147	0.00165175408082889	0.0235275212914202	0.0953	0.082	0.0883	0.0883	TRUE	NA
FBtr0080864	22735	5824	6943	15055	5007	6052	11765	8725	9780	7688	6876	7508	8723.63	10090	7357	0.733	-0.447	-3.146	0.00165324721388363	0.0235298442967138	0.009	0.0267	0.0144	0.0144	TRUE	NA
FBtr0087930	187	84	85	31	58	47	97	126	120	16	80	58	82.69	114	51	0.377	-1.408	-3.145	0.00166177524134844	0.0236322072304624	0.1566	0.1047	0.1292	0.1292	TRUE	NA
FBtr0330269	454	32	37	157	23	20	235	48	52	80	32	25	78.59	112	46	0.456	-1.134	-3.134	0.00172569383143611	0.0243843846421216	0.0338	0.1088	0.0701	0.0701	TRUE	NA
FBtr0087306	5083	1768	1987	3773	1593	1619	2630	2649	2799	1927	2188	2009	2366.79	2693	2041	0.757	-0.401	-3.132	0.00173600785315971	0.0245105466322812	0.0014	0.0287	0.0114	0.0114	TRUE	NA
FBtr0290278	2729	616	828	1600	535	637	1412	923	1166	817	735	790	973.9	1167	781	0.674	-0.569	-3.129	0.00175192597972389	0.0246204431365476	0.0148	0.0326	0.0227	0.0227	TRUE	NA
FBtr0075196	2311	968	956	921	726	872	1196	1450	1347	470	997	1082	1090.3	1331	850	0.601	-0.734	-3.125	0.00178007955918541	0.0249931646678961	0.0454	0.0319	0.0388	0.0388	TRUE	NA
FBtr0072303	288	104	116	134	82	60	149	156	163	68	113	74	120.62	156	85	0.536	-0.899	-3.123	0.00178748236092505	0.0250772009889969	0.0193	0.0799	0.0503	0.0503	TRUE	NA
FBtr0088245	6423	2386	2838	4549	1984	2457	3324	3575	3998	2323	2725	3048	3165.26	3632	2699	0.74	-0.434	-3.123	0.0017924361943384	0.0251267739413951	0.0046	0.028	0.0136	0.0136	TRUE	NA
FBtr0086946	1661	539	385	1082	278	361	860	807	542	553	382	448	598.58	736	461	0.625	-0.679	-3.117	0.00182856635549094	0.0255724643438658	0.0266	0.0368	0.0322	0.0322	TRUE	NA
FBtr0085359	3204	418	412	2588	294	316	1658	626	580	1322	404	392	830.31	955	706	0.707	-0.501	-3.115	0.00184238115122455	0.0257453119639127	0.0042	0.0338	0.0167	0.0167	TRUE	NA
FBtr0086582	2110	847	655	1734	450	404	1092	1269	923	885	618	501	881.34	1095	668	0.597	-0.743	-3.111	0.00186253767857201	0.0259701304236982	0.0461	0.0333	0.0398	0.0398	TRUE	NA
FBtr0331991	2455	721	770	1749	599	676	1270	1080	1085	893	823	839	998.26	1145	852	0.744	-0.426	-3.111	0.00186287352369414	0.0259701304236982	0	0.0324	0.0124	0.0124	TRUE	NA
FBtr0078716	2891	942	869	1912	748	778	1496	1411	1224	976	1027	965	1183.35	1377	989	0.719	-0.476	-3.11	0.00187162751248959	0.026051111190758	0.0054	0.0314	0.016	0.016	TRUE	NA
FBtr0088626	2629	1078	1236	1449	861	1101	1360	1615	1741	740	1182	1366	1334.11	1572	1096	0.679	-0.559	-3.11	0.00187396824584494	0.0260631857211029	0.0161	0.0308	0.0225	0.0225	TRUE	NA
FBtr0072520	1473	206	179	729	152	150	762	309	252	372	209	186	348.35	441	256	0.616	-0.698	-3.107	0.00188767829055327	0.0262174376427719	0.0214	0.0446	0.0322	0.0322	TRUE	NA
FBtr0072436	993	333	352	636	263	299	514	499	496	325	361	371	427.57	503	352	0.697	-0.52	-3.099	0.00194143802450899	0.0268747888040598	0	0.0412	0.0178	0.0178	TRUE	NA
